,link_fixing_commit,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,fixing_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
85,https://github.com/osmandapp/Osmand/commit/daa3deb00f2b7db70208794d290d04e9cc1982e2,android,0,0,4a23b4d074,4a23b4d074,daa3deb00f,2012-11-28T12:14:15Z,0,373,0,373,6766.859551,3540,5537.696629,1841,14,3,11,Java,284132,56,948
86,https://github.com/osmandapp/Osmand/commit/376bc2217bb4c38809981fdcd3e8353a06d4c281,android,155,155,7bc162a878,7bc162a878,376bc2217b,2013-09-21T11:47:05Z,0,529,0,529,6592.88535,3817.5,4709.328025,1901,32,9,23,Java,184208,56,1245
87,https://github.com/MirakelX/mirakel-android/commit/9eeeba580f9e72e222ecf9c80356c660286a0c31,android,3,3,2a3d103b,2a3d103b,9eeeba58,2015-05-10T19:00:31Z,42,588,34,554,293.3157895,0,446.0921053,0,264,6,258,Java,17016,4,1855
88,https://github.com/osmandapp/Osmand/commit/59e6701969dcfdfdc1a2c1eb6cc332c0e8eb5b04,android,4,9,1749e60eee,58314c350d,59e6701969,2012-05-12T10:47:54Z,0,247,0,247,7367.994805,3714,5926.685714,1979,8,5,3,Java,194021,56,748
89,https://github.com/anthonycr/Lightning-Browser/commit/cb19ce2d0ad6a4e0b0df184238d289107dad5fae,android,48,176,969cab81,0a4d81f7,cb19ce2d,2016-01-10T19:02:13Z,7,365,95,270,883.492228,81,827.7720207,19,5,3,2,Kotlin,17015,55,1064
90,https://github.com/wordpress-mobile/WordPress-Android/commit/5db9800c49a5df7ce790be683a370ad0cbd81969,android,172,336,57bbae9687,d55ed7e11e,5db9800c49,2013-02-20T21:47:24Z,16,0,0,0,5428.409884,3292.5,4490.639535,2302.5,28,6,22,Java,35049,18,1263
91,https://github.com/federicoiosue/Omni-Notes/commit/44964efe027ca0ba690a9ef46c85dd57e3e04041,android,21,412,87157a2a,8db7c181,44964efe,2015-05-12T20:43:13Z,69,163,17,146,239.495614,16.5,182.0657895,7,26,6,20,Java,28904,1,562
92,https://github.com/wordpress-mobile/WordPress-Android/commit/65df0ee33617e90b35d3e098168e38f46e1adc55,android,7,7,ea75603afa,ea75603afa,65df0ee336,2016-01-22T21:52:12Z,95,3650,2,3648,5873.4375,3796.5,4855.010417,2553.5,5,2,3,Java,147620,68,2329
93,https://github.com/ukanth/afwall/commit/9783956e1a5b185d235e319d059650b68368ae95,android,0,202,07dc411b,f4dc1351,9783956e,2014-03-15T15:47:19Z,22,262,9,253,674.0519031,15,529.3875433,6,3261,2660,601,Java,22565,10,510
94,https://github.com/WhisperSystems/Signal-Android/commit/77e846d24e27dcae41d64bf776d44be59a58d927,android,829,829,61d419279,61d419279,77e846d24,2015-04-10T17:07:22Z,88,2931,0,2931,5052.313305,1071,4394.120172,436,16,7,9,Java,72465,29,1209
95,https://github.com/k9mail/k-9//commit/852e51328165163b794a5a16d11c2de0b1c4f9d7,android,0,0,d1d834527,d1d834527,852e51328,2008-12-07T20:55:26Z,0,0,0,0,2572.582593,481,2350.191829,231,178,64,114,Java,32638,6,42
96,https://github.com/Antox/Antox/commit/a0b9c5c32507e4b91db478edb98504793c58cc6a,android,0,157,b7194223,5185c71a,a0b9c5c3,2014-08-12T17:00:35Z,4,0,0,0,342.1348315,0,267.411985,0,126,31,95,Scala,9032,46,198
97,https://github.com/theScrabi/NewPipe/commit/33e332f10562f3e37ee75b3daecad44c69ea9466,android,4,65,73d61f17,fc707b6c,33e332f1,2015-11-08T20:17:51Z,6,77,0,77,1123.480198,532,724.3415842,306,102,31,71,Java,4271,8,70
98,https://github.com/siacs/Conversations/commit/94ab61d5c0b060e2aea5caf58ac06864f980956b,android,0,22,4f902d82,746f9591,94ab61d5,2014-02-19T07:21:33Z,0,0,0,0,1131.184932,511.5,676.2465753,202,54,25,29,Java,5840,1,31
